order_item_id,order_id,product_id,quantity,unit_price,item_options
5001,1001,101,1,2800,"{""color"":""black"",""gift_wrap"":false}"
5002,1001,103,2,1200,"{""length_m"":1.5,""gift_wrap"":false}"
5003,1002,102,1,12800,"{""switch"":""brown"",""gift_wrap"":true}"
5004,1002,103,3,1200,"{""length_m"":1.5,""gift_wrap"":true}"
5005,1003,104,1,32800,"{""color"":""black"",""gift_wrap"":false}"
5006,1004,106,4,1500,"{""grind"":""beans"",""gift_wrap"":false}"
5007,1005,105,1,19800,"{""color"":""gray"",""gift_wrap"":true}"
5008,1006,101,2,2800,"{""color"":""black"",""gift_wrap"":false}"
5009,1006,102,1,12800,"{""switch"":""brown"",""gift_wrap"":false}"
5010,1007,104,1,32800,"{""color"":""black"",""gift_wrap"":false}"
5011,1008,103,5,1200,"{""length_m"":1.5,""gift_wrap"":true}"
5012,1008,106,2,1500,"{""grind"":""beans"",""gift_wrap"":true}"
5013,1009,152,4,2700,"{""gift_wrap"":false,""color"":""gray""}"
5014,1010,111,4,13100,"{""gift_wrap"":false,""grind"":""beans""}"
5015,1011,139,3,24800,"{""gift_wrap"":false,""switch"":""blue""}"
5016,1011,110,3,1300,"{""gift_wrap"":false,""length_m"":1.5}"
5017,1012,136,2,11400,"{""gift_wrap"":false,""switch"":""brown""}"
5018,1012,107,2,4500,"{""gift_wrap"":true,""color"":""white""}"
5019,1012,121,4,5500,"{""gift_wrap"":false,""grind"":""beans""}"
5020,1013,153,3,4500,"{""gift_wrap"":false,""switch"":""red""}"
5021,1014,132,5,19100,"{""gift_wrap"":false,""switch"":""brown""}"
5022,1015,106,4,1500,"{""gift_wrap"":false,""length_m"":1.0}"
5023,1016,123,4,33300,"{""gift_wrap"":false,""grind"":""fine""}"
5024,1016,104,5,32800,"{""gift_wrap"":true,""color"":""white""}"
5025,1016,119,2,1800,"{""gift_wrap"":false,""switch"":""brown""}"
5026,1017,103,1,1200,"{""gift_wrap"":false,""length_m"":1.5}"
5027,1017,126,5,2900,"{""gift_wrap"":false,""grind"":""medium""}"
5028,1018,149,3,10800,"{""gift_wrap"":false}"
5029,1018,136,5,11400,"{""gift_wrap"":true,""color"":""white""}"
5030,1019,151,5,1100,"{""gift_wrap"":false,""length_m"":1.0}"
5031,1019,122,5,2700,"{""gift_wrap"":false}"
5032,1020,103,1,1200,"{""gift_wrap"":true,""switch"":""brown""}"
5033,1021,130,5,1500,"{""gift_wrap"":true}"
5034,1021,110,3,1300,"{""gift_wrap"":true}"
5035,1021,139,3,24800,"{""gift_wrap"":false}"
5036,1022,135,5,7700,"{""gift_wrap"":false,""color"":""white""}"
5037,1022,132,3,19100,"{""gift_wrap"":false,""grind"":""medium""}"
5038,1022,146,3,3900,"{""gift_wrap"":false,""color"":""gray""}"
5039,1023,117,5,9100,"{""gift_wrap"":false,""color"":""gray""}"
5040,1023,142,4,6300,"{""gift_wrap"":true}"
5041,1024,110,2,1300,"{""gift_wrap"":true,""color"":""black""}"
5042,1024,153,1,4500,"{""gift_wrap"":false,""grind"":""beans""}"
5043,1025,145,4,18500,"{""gift_wrap"":false}"
5044,1025,114,4,2100,"{""gift_wrap"":false,""color"":""gray""}"
5045,1026,134,2,2500,"{""gift_wrap"":false,""grind"":""medium""}"
5046,1027,121,4,5500,"{""gift_wrap"":false,""switch"":""blue""}"
5047,1027,112,3,39100,"{""gift_wrap"":false,""switch"":""blue""}"
5048,1028,113,3,9000,"{""gift_wrap"":false,""length_m"":1.5}"
5049,1028,116,3,1800,"{""gift_wrap"":false,""grind"":""fine""}"
5050,1029,123,3,33300,"{""gift_wrap"":false}"
